;%;exemple top-4;;;;;;;
code;100;[70177118525, 79200370213, 35493012711, '2193240002601'];;;;;;;
url;100;['http://world-en.openfoodfacts.org/product/3661945710002'];;;;;;;
creator;100;['kiliweb', 'usda-ndb-import', 'openfoodfacts-contributors', 'date-limite-app'];;;;;;;
created_t;100;[1489055829, 1489077120, 1552319300, 1548767182];;;;;;;
created_datetime;100;['2017-03-09T10:37:09Z', '2019-03-11T15:48:20Z', '2017-03-09T16:32:00Z', '2017-03-09T09:05:53Z'];;;;;;;
last_modified_t;100;[1549996693, 1547756464, 1552770887, 1549996691];;;;;;;
last_modified_datetime;100;['2019-02-12T18:38:13Z', '2019-01-17T20:21:04Z', '2019-03-16T21:14:47Z', '2019-02-12T18:38:11Z'];;;;;;;
product_name;95;['Produit inconnu', 'Comté', 'Filet de poulet', 'Emmental'];;;;;;;
generic_name;9;['Pâtes alimentaires au blé dur de qualité supérieure', 'Beignets fourrés à la purée de'];;;;;;;
quantity;31;['500 g', '250 g', '200 g', '100 g'];;;;;;;
packaging;18;['sachet,plastique', 'Sachet,Plastique', 'Plastique', 'Kunststoff'];;;;;;;
packaging_tags;18;['sachet,plastique', 'plastique', 'carton', 'bouteille,verre'];;;;;;;
brands;59;['Carrefour', 'Auchan', 'U', 'Delhaize'];;;;;;;
brands_tags;59;['carrefour', 'auchan', 'u', 'leader-price'];;;;;;;
categories;37;['Boissons', 'Viandes, Volailles, Poulets, Filets de poulet', 'Boissons, Boissons avec sucre ajout'];;;;;;;
categories_tags;37;['en:beverages,en:non-alcoholic-beverages,en:unsweetened-beverages', 'en:plant-based-foods-'];;;;;;;
categories_en;37;['Beverages,Non-Alcoholic beverages,Unsweetened beverages', 'Plant-based foods and beverages,'];;;;;;;
origins;5;['France', 'México', 'Union Européenne', 'Italie'];;;;;;;
origins_tags;5;['france', 'mexico', 'union-europeenne', 'italie'];;;;;;;
manufacturing_places;8;['France', 'Italie', 'Belgique', 'Deutschland'];;;;;;;
manufacturing_places_tags;8;['france', 'italie', 'belgique', 'deutschland'];;;;;;;
labels;20;['en:gluten-free', 'Bio  ', 'en:organic', 'Point Vert'];;;;;;;
labels_tags;20;['en:organic', 'en:gluten-free', 'en:organic,en:eu-organic,fr:ab-agriculture-biologique', 'en:green-dot'];;;;;;;
labels_en;20;['Organic', 'Gluten-free', 'Organic,EU Organic,fr:ab-agriculture-biologique', 'Green Dot'];;;;;;;
emb_codes;6;['FR 72.264.002 EC', 'EMB 56251E', 'NEPRECIZAT', 'EMB 72264'];;;;;;;
emb_codes_tags;6;['fr-72-264-002-ec', 'neprecizat', 'emb-56251e', 'emb-72264'];;;;;;;
first_packaging_code_geo;4;['47.833333,-0.333333', '47.633333,-2.666667', '49.083333,-0.65', '48.1,-4.333333'];;;;;;;
cities_tags;4;['sable-sur-sarthe-sarthe-france', 'theix-morbihan-france', 'douarnenez-finistere-france'];;;;;;;
purchase_places;12;['France', 'Deutschland', 'Lyon,France', 'España'];;;;;;;
stores;18;['Carrefour', 'Magasins U', 'Auchan', 'Leclerc'];;;;;;;
countries;100;['France', 'United States', 'en:france', 'en:fr'];;;;;;;
countries_tags;100;['en:france', 'en:united-states', 'en:spain', 'en:switzerland'];;;;;;;
countries_en;100;['France', 'United States', 'Spain', 'Switzerland'];;;;;;;
ingredients_text;44;['Carbonated water, natural flavor.', 'Almonds.', 'Miel', 'Contient des sulfites.'];;;;;;;
allergens;8;['en:milk', 'en:gluten', 'en:gluten,en:milk', 'blé'];;;;;;;
traces;6;['en:nuts', 'Fruits à coque', 'en:milk', 'en:gluten'];;;;;;;
traces_tags;8;['en:nuts', 'en:milk', 'en:gluten', 'en:soybeans'];;;;;;;
traces_en;8;['Nuts', 'Milk', 'Gluten', 'Soybeans'];;;;;;;
serving_size;27;['100g', '240 ml (8 fl oz)', '28 g (1 oz)', '30 g'];;;;;;;
serving_quantity;27;[28.0, 30.0, 100.0, 15.0];;;;;;;
additives_n;44;[0.0, 1.0, 2.0, 3.0];;;;;;;
additives_tags;24;['en:e330', 'en:e322,en:e322i', 'en:e440,en:e440i', 'en:e415'];;;;;;;
additives_en;24;['E330 - Citric acid', 'E322 - Lecithins,E322i - Lecithin', 'E440 - Pectins,E440i - Pectin',];;;;;;;
ingredients_from_palm_oil_n;44;[0.0, 1.0, 2.0, 3.0];;;;;;;
ingredients_that_may_be_from_palm_oil_n;44;[0.0, 1.0, 2.0, 3.0];;;;;;;
nutrition_grade_fr;28;['d', 'c', 'e', 'a'];;;;;;;
nova_group;31;[4.0, 3.0, 1.0, 2.0];;;;;;;
pnns_groups_1;99;['unknown', 'Sugary snacks', 'Milk and dairy products', 'Fish Meat Eggs'];;;;;;;
pnns_groups_2;100;['unknown', 'Biscuits and cakes', 'Sweets', 'One-dish meals'];;;;;;;
states;100;['en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed];;;;;;;
states_tags;100;['en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed];;;;;;;
states_en;100;['To be completed,Nutrition facts completed,Expiration date to be completed];;;;;;;
main_category;37;['en:plant-based-foods-and-beverages', 'en:snacks', 'en:beverages', 'en:dairies'];;;;;;;
main_category_en;37;['Plant-based foods and beverages', 'Snacks', 'Beverages', 'Dairies'];;;;;;;
image_url;74;['https://static.openfoodfacts.org/images/products/376/012/463/0473/front_fr.4.400.jpg';;;;;;;
image_small_url;74;['https://static.openfoodfacts.org/images/products/506/013/621/6664/front_nl.5.200.jpg'];;;;;;;
image_ingredients_url;57;['https://static.openfoodfacts.org/images/products/750/105/927/3283/ingredients_es.13.400.jpg'];;;;;;;
image_ingredients_small_url;57;['https://static.openfoodfacts.org/images/products/021/490/702/9068/ingredients_fr.7.200.jpg'];;;;;;;
image_nutrition_url;34;['https://static.openfoodfacts.org/images/products/376/008/557/1150/nutrition_vi.7.400.jpg'];;;;;;;
image_nutrition_small_url;34;['https://static.openfoodfacts.org/images/products/266/611/803/2678/nutrition_fr.7.200.jpg'];;;;;;;
energy_100g;80;[0.0, 1674.0, 2092.0, 1494.0];;;;;;;
fat_100g;80;[0.0, 0.5, 0.1, 1.0];;;;;;;
saturated-fat_100g;77;[0.0, 0.1, 0.5, 0.2];;;;;;;
trans-fat_100g;14;[0.0, 0.1, 0.2, 3.57];;;;;;;
cholesterol_100g;14;[0.0, 0.071, 0.107, 0.012];;;;;;;
carbohydrates_100g;80;[0.0, 0.5, 1.0, 11.0];;;;;;;
sugars_100g;78;[0.0, 0.5, 1.0, 0.1];;;;;;;
fiber_100g;30;[0.0, 3.6, 0.5, 2.0];;;;;;;
proteins_100g;80;[0.0, 0.5, 12.0, 1.0];;;;;;;
salt_100g;78;[0.0, 0.1, 0.01, 1.0];;;;;;;
sodium_100g;78;[0.0, 0.04, 0.004, 0.4];;;;;;;
vitamin-a_100g;14;[0.0, 0.0003213, 0.0002142, 0.0001071];;;;;;;
vitamin-c_100g;14;[0.0, 0.001, 0.004, 0.0043];;;;;;;
calcium_100g;14;[0.0, 0.071, 0.067, 0.7140000000000001];;;;;;;
iron_100g;14;[0.0, 0.0012900000000000001, 0.00257, 0.0024];;;;;;;
nutrition-score-fr_100g;28;[0.0, 14.0, 13.0, 2.0];;;;;;;
nutrition-score-uk_100g;28;[0.0, 2.0, 1.0, 3.0];;;;;;;